raceId,year,round,circuitId,name,date,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time
166,2000,9,8,French Grand Prix,02-07-00,,,,,,,,,,
167,2000,10,70,Austrian Grand Prix,16-07-00,,,,,,,,,,
168,2000,11,10,German Grand Prix,30-07-00,,,,,,,,,,
169,2000,12,11,Hungarian Grand Prix,13-08-00,,,,,,,,,,
170,2000,13,13,Belgian Grand Prix,27-08-00,,,,,,,,,,
171,2000,14,14,Italian Grand Prix,10-09-00,,,,,,,,,,
172,2000,15,19,United States Grand Prix,24-09-00,,,,,,,,,,
173,2000,16,22,Japanese Grand Prix,08-10-00,,,,,,,,,,
174,2000,17,2,Malaysian Grand Prix,22-10-00,,,,,,,,,,
175,1999,1,1,Australian Grand Prix,07-03-99,,,,,,,,,,
176,1999,2,18,Brazilian Grand Prix,11-04-99,,,,,,,,,,
177,1999,3,21,San Marino Grand Prix,02-05-99,,,,,,,,,,
178,1999,4,6,Monaco Grand Prix,16-05-99,,,,,,,,,,
179,1999,5,4,Spanish Grand Prix,30-05-99,,,,,,,,,,
180,1999,6,7,Canadian Grand Prix,13-06-99,,,,,,,,,,
181,1999,7,8,French Grand Prix,27-06-99,,,,,,,,,,
182,1999,8,9,British Grand Prix,11-07-99,,,,,,,,,,
183,1999,9,70,Austrian Grand Prix,25-07-99,,,,,,,,,,
184,1999,10,10,German Grand Prix,01-08-99,,,,,,,,,,
185,1999,11,11,Hungarian Grand Prix,15-08-99,,,,,,,,,,
186,1999,12,13,Belgian Grand Prix,29-08-99,,,,,,,,,,
187,1999,13,14,Italian Grand Prix,12-09-99,,,,,,,,,,
188,1999,14,20,European Grand Prix,26-09-99,,,,,,,,,,
189,1999,15,2,Malaysian Grand Prix,17-10-99,,,,,,,,,,
190,1999,16,22,Japanese Grand Prix,31-10-99,,,,,,,,,,
191,1998,1,1,Australian Grand Prix,08-03-98,,,,,,,,,,
192,1998,2,18,Brazilian Grand Prix,29-03-98,,,,,,,,,,
193,1998,3,25,Argentine Grand Prix,12-04-98,,,,,,,,,,
194,1998,4,21,San Marino Grand Prix,26-04-98,,,,,,,,,,
195,1998,5,4,Spanish Grand Prix,10-05-98,,,,,,,,,,
196,1998,6,6,Monaco Grand Prix,24-05-98,,,,,,,,,,
197,1998,7,7,Canadian Grand Prix,07-06-98,,,,,,,,,,
198,1998,8,8,French Grand Prix,28-06-98,,,,,,,,,,
199,1998,9,9,British Grand Prix,12-07-98,,,,,,,,,,
200,1998,10,70,Austrian Grand Prix,26-07-98,,,,,,,,,,
201,1998,11,10,German Grand Prix,02-08-98,,,,,,,,,,
202,1998,12,11,Hungarian Grand Prix,16-08-98,,,,,,,,,,
203,1998,13,13,Belgian Grand Prix,30-08-98,,,,,,,,,,
204,1998,14,14,Italian Grand Prix,13-09-98,,,,,,,,,,
205,1998,15,20,Luxembourg Grand Prix,27-09-98,,,,,,,,,,
206,1998,16,22,Japanese Grand Prix,01-11-98,,,,,,,,,,
207,1997,1,1,Australian Grand Prix,09-03-97,,,,,,,,,,
208,1997,2,18,Brazilian Grand Prix,30-03-97,,,,,,,,,,
209,1997,3,25,Argentine Grand Prix,13-04-97,,,,,,,,,,
210,1997,4,21,San Marino Grand Prix,27-04-97,,,,,,,,,,
211,1997,5,6,Monaco Grand Prix,11-05-97,,,,,,,,,,
212,1997,6,4,Spanish Grand Prix,25-05-97,,,,,,,,,,
213,1997,7,7,Canadian Grand Prix,15-06-97,,,,,,,,,,
214,1997,8,8,French Grand Prix,29-06-97,,,,,,,,,,
215,1997,9,9,British Grand Prix,13-07-97,,,,,,,,,,
216,1997,10,10,German Grand Prix,27-07-97,,,,,,,,,,
217,1997,11,11,Hungarian Grand Prix,10-08-97,,,,,,,,,,
218,1997,12,13,Belgian Grand Prix,24-08-97,,,,,,,,,,
219,1997,13,14,Italian Grand Prix,07-09-97,,,,,,,,,,
220,1997,14,70,Austrian Grand Prix,21-09-97,,,,,,,,,,
221,1997,15,20,Luxembourg Grand Prix,28-09-97,,,,,,,,,,
222,1997,16,22,Japanese Grand Prix,12-10-97,,,,,,,,,,
223,1997,17,26,European Grand Prix,26-10-97,,,,,,,,,,
224,1996,1,1,Australian Grand Prix,10-03-96,,,,,,,,,,
225,1996,2,18,Brazilian Grand Prix,31-03-96,,,,,,,,,,
226,1996,3,25,Argentine Grand Prix,07-04-96,,,,,,,,,,
227,1996,4,20,European Grand Prix,28-04-96,,,,,,,,,,
228,1996,5,21,San Marino Grand Prix,05-05-96,,,,,,,,,,
229,1996,6,6,Monaco Grand Prix,19-05-96,,,,,,,,,,
230,1996,7,4,Spanish Grand Prix,02-06-96,,,,,,,,,,
231,1996,8,7,Canadian Grand Prix,16-06-96,,,,,,,,,,
232,1996,9,8,French Grand Prix,30-06-96,,,,,,,,,,
233,1996,10,9,British Grand Prix,14-07-96,,,,,,,,,,
234,1996,11,10,German Grand Prix,28-07-96,,,,,,,,,,
235,1996,12,11,Hungarian Grand Prix,11-08-96,,,,,,,,,,
236,1996,13,13,Belgian Grand Prix,25-08-96,,,,,,,,,,
237,1996,14,14,Italian Grand Prix,08-09-96,,,,,,,,,,
238,1996,15,27,Portuguese Grand Prix,22-09-96,,,,,,,,,,
239,1996,16,22,Japanese Grand Prix,13-10-96,,,,,,,,,,
240,1995,1,18,Brazilian Grand Prix,26-03-95,,,,,,,,,,
241,1995,2,25,Argentine Grand Prix,09-04-95,,,,,,,,,,
242,1995,3,21,San Marino Grand Prix,30-04-95,,,,,,,,,,
243,1995,4,4,Spanish Grand Prix,14-05-95,,,,,,,,,,
244,1995,5,6,Monaco Grand Prix,28-05-95,,,,,,,,,,
245,1995,6,7,Canadian Grand Prix,11-06-95,,,,,,,,,,
246,1995,7,8,French Grand Prix,02-07-95,,,,,,,,,,
247,1995,8,9,British Grand Prix,16-07-95,,,,,,,,,,
248,1995,9,10,German Grand Prix,30-07-95,,,,,,,,,,
249,1995,10,11,Hungarian Grand Prix,13-08-95,,,,,,,,,,
250,1995,11,13,Belgian Grand Prix,27-08-95,,,,,,,,,,
251,1995,12,14,Italian Grand Prix,10-09-95,,,,,,,,,,
252,1995,13,27,Portuguese Grand Prix,24-09-95,,,,,,,,,,
253,1995,14,20,European Grand Prix,01-10-95,,,,,,,,,,
254,1995,15,28,Pacific Grand Prix,22-10-95,,,,,,,,,,
255,1995,16,22,Japanese Grand Prix,29-10-95,,,,,,,,,,
256,1995,17,29,Australian Grand Prix,12-11-95,,,,,,,,,,
257,1994,1,18,Brazilian Grand Prix,27-03-94,,,,,,,,,,
258,1994,2,28,Pacific Grand Prix,17-04-94,,,,,,,,,,
259,1994,3,21,San Marino Grand Prix,01-05-94,,,,,,,,,,
260,1994,4,6,Monaco Grand Prix,15-05-94,,,,,,,,,,
261,1994,5,4,Spanish Grand Prix,29-05-94,,,,,,,,,,
